Merchant,Branch,1st time users,Organic sum of spend,Sum of Comission,Sum of rewards,% of Net Reward,Net Reward,Net Win/Loss,Avg Reward,Total GMV,Free Trial Until
8Bit,Swanston Street,4073,$9.58,$0.00,"$3,412.02",2.07%,"-$3,412.02",-12.01%,12.12,"$28,404.08",31/07/18
Gotcha!,The Empire Gotcha,2961,$31.69,"$4,474.05","$8,929.40",5.42%,"-$4,455.35",-10.77%,21.68,"$41,355.66",âˆ…
CoCo Fresh Tea & Juice,Ultimo,1431,$11.69,$445.42,"$1,484.73",0.90%,"-$1,039.31",-7.00%,12.03,"$14,847.29",28/02/19
Gotcha!,59 Elizabeth Street,1339,$19.76,"$1,478.09","$2,953.64",1.79%,"-$1,475.55",-11.30%,22.6,"$13,056.43",âˆ…
Oh! Matcha,Regent Place,1337,$7.44,$494.79,$494.79,0.30%,$0.00,0.00%,10,"$6,776.15",âˆ…
CoCo Fresh Tea & Juice,Regent Place,1324,$8.51,$376.05,"$1,253.48",0.76%,-$877.43,-7.00%,15,"$12,534.85",28/02/19
Carte Crepes,The University of Melbourne,1255,$11.36,$412.20,$412.20,0.25%,$0.00,0.00%,10,"$4,122.05",âˆ…
Aqua S,QV Melbourne,1235,$8.10,$384.07,$384.07,0.23%,$0.00,0.00%,10,"$3,812.47",âˆ…
CoCo Fresh Tea & Juice,George Street,1150,$9.75,$265.64,$885.45,0.54%,-$619.81,-7.00%,10,"$8,854.53",28/02/19
CoCo Fresh Tea & Juice,Town Hall,1080,$10.44,$490.08,"$1,633.60",0.99%,"-$1,143.52",-7.00%,10,"$16,335.98",28/02/19
CoCo Fresh Tea & Juice,Broadway,633,$17.07,$296.72,$989.07,0.60%,-$692.35,-7.00%,12.06,"$9,890.70",28/02/19
CoCo Fresh Tea & Juice,Goulburn Street,629,$11.98,$180.06,$600.18,0.36%,-$420.12,-7.00%,26.46,"$6,001.84",28/02/19
CoCo Fresh Tea & Juice,Swanston Street,549,$31.67,$76.22,"$2,105.26",1.28%,"-$2,029.04",-13.65%,10,"$14,862.25",31/05/19
Gotcha!,Footscray,535,$20.22,"$1,529.67","$3,050.68",1.85%,"-$1,521.01",-11.02%,12.19,"$13,800.86",âˆ…
8Bit,Darling Square,512,$16.11,$0.00,$987.98,0.60%,-$987.98,-11.94%,10,"$8,272.80",04/08/18
Sharetea,George Street,504,$5.31,$223.82,$223.82,0.14%,$0.00,0.00%,20.14,"$2,238.24",03/02/19
Bubble Nini Tea,Chippendale,482,$15.57,$651.48,$651.48,0.40%,$0.00,0.00%,10,"$6,514.84",âˆ…
CoCo Fresh Tea & Juice,Market City,475,$18.09,$100.69,$791.24,0.48%,-$690.55,-8.73%,10,"$7,912.44",18/05/19
Gotcha!,Springvale,469,$21.85,$771.48,"$1,538.03",0.93%,-$766.55,-11.42%,15,"$6,714.71",âˆ…
Gotcha!,The Glen Shopping Centre,425,$22.91,$719.55,"$1,439.11",0.87%,-$719.56,-10.94%,12.11,"$6,575.04",âˆ…
CoCo Fresh Tea & Juice,Bourke Street,400,$26.71,$64.68,"$1,178.98",0.72%,"-$1,114.30",-13.38%,26.43,"$8,329.00",31/05/19
Messina,Bondi,367,$2.31,$139.73,$139.73,0.08%,$0.00,0.00%,11.34,"$1,397.30",30/11/18
Oh! Matcha,World Square,334,$8.96,$188.83,$188.83,0.11%,$0.00,0.00%,10,"$2,516.02",âˆ…
Messina,Circular Quay,322,$4.87,$336.53,$336.53,0.20%,$0.00,0.00%,15,"$3,365.30",30/11/18
Castro's Kiosk,The University of Melbourne,317,$11.07,$150.69,$339.70,0.21%,-$189.01,-5.56%,15,"$3,397.01",18/05/19
