Name,Suburb,url
4 Ounces Burger,Rushcutters Bay,None
4 Ounces Burger,Rydalmere,None
At Tea,Chippendale,https://www.zomato.com/sydney/at-tea-chippendale
Banh You,Sydney,https://www.zomato.com/sydney/banhyou-vietnamese-street-food-circular-quay-cbd
Bao Dao,CBD,None
Bao Dao,Eastwood,None
Burger Crave,Bondi Junction,https://www.zomato.com/sydney/burgercrave-bondi-junction
Burgers by Josh,Surry Hills,None
Cloud Thief,World Square,None
Cloud Thief,Sydney Westfield,https://www.zomato.com/sydney/cloud-thief-1-cbd
Club Bollywood,Sydney,None
CoCo Fresh Tea & Juice,Waterloo,https://www.zomato.com/sydney/coco-fresh-tea-juice-waterloo
Creamd,Steam Mill Lane,https://www.zomato.com/sydney/creamd-ice-cream-cbd
Dainty Dumpling House,Haymarket,https://www.zomato.com/sydney/dainty-dumpling-house-rhodes
Delisse,MET Centre,https://www.zomato.com/sydney/d%C3%A9lisse-2-cbd
Don Don Japanese,Darlinghurst,https://www.zomato.com/sydney/don-dons-darlinghurst
Great Aunty Three,Surry Hills,https://www.zomato.com/sydney/great-aunty-three-surry-hills
Indigo North,Crows Nest,https://www.zomato.com/sydney/indigo-north-crows-nest
Kurtosh,Crows Nest,https://www.zomato.com/sydney/k%C3%BCrtosh-crows-nest
Kurtosh,Darlinghurst,https://www.zomato.com/sydney/kurtosh-darlinghurst
Kurtosh,Surry Hills,https://www.zomato.com/sydney/k%C3%BCrtosh-surry-hills
Kurtosh,Randwick,https://www.zomato.com/sydney/k%C3%BCrtosh-randwick
Kusuka,Haymarket,None
LL Wine and Dine,Potts Point,https://www.zomato.com/sydney/ll-wine-dine-potts-point
LaMesa,Haymarket,https://www.zomato.com/sydney/la-mesa-chinatown
Love Dem Apples,Steam Mill Lane,https://www.zomato.com/sydney/love-dem-apples-surry-hills
Mad Mex,Newtown,https://www.zomato.com/sydney/mad-mex-newtown
N2 Extreme Gelato,Sydney,https://www.zomato.com/sydney/n2-extreme-gelato-cbd
Nama,Sydney,https://www.zomato.com/sydney/nama-cbd
PappaRich,Sydney CBD,https://www.zomato.com/sydney/papparich-pitt-st-express-cbd
PappaRich,Broadway,https://www.zomato.com/sydney/papparich-ultimo/info
PappaRich,Chatswood,https://www.zomato.com/sydney/papparich-chatswood
Persian Broil,Newtown,None
Poked,Australia Square,https://www.zomato.com/sydney/pok%C3%A9d-cbd
RK San Contemporary Japanese,Surry Hills,https://www.zomato.com/sydney/rk-san-contemporary-japanese-restaurant-surry-hills
Real Grounded,Glebe,None
Rolld,MET Centre,https://www.zomato.com/sydney/rolld-1-cbd
Rolld,Chifley,https://www.zomato.com/sydney/rolld-3-cbd
Rolld, OConnell Street,https://www.zomato.com/sydney/rolld-cbd
Rolld,Rowe Lane,None
Rolld,Bondi Junction,https://www.zomato.com/sydney/rolld-bondi-junction
Rolld,Gateway Sydney,https://www.zomato.com/sydney/rolld-8-cbd
Rolld,Australia Square,https://www.zomato.com/sydney/rolld-2-cbd
Rolld,Sydney Central Plaza,https://www.zomato.com/sydney/rolld-5-cbd
Royal Stacks,Chatswood,https://www.zomato.com/sydney/royal-stacks-chatswood
Sharetea,Auburn,https://www.zomato.com/sydney/share-tea-auburn
Sharetea,Macquarie Center,https://www.zomato.com/sydney/share-tea-macquarie-park
South Dowling Sandwiches,Alexandria,None
Zushi,Darlinghurst,https://www.zomato.com/sydney/zushi-darlinghurst-darlinghurst
Restaurant Moon,Darlinghurst,https://www.zomato.com/sydney/restaurant-moon-1-darlinghurst
