Id,Name,Suburb,Zomato Name,levenshtein,n,url
1365.0,Sandoitchi,Darlinghurst,Sandoitchi,0,1,"https://www.zomato.com/sydney/sandoitchi-darlinghurst
"
1618.0,Pizza M,Ultimo,Pizza M,0,1,"https://www.zomato.com/sydney/pizza-m-ultimo
"
734.0,Beijing Legend,Pyrmont,Beijing Legend,0,1,"https://www.zomato.com/sydney/beijing-legend-pyrmont
"
1467.0,Sexy Tea,Haymarket,Sexy Tea,0,1,"https://www.zomato.com/sydney/sexy-tea-haymarket
"
1312.0,QQ Tea,Parramatta,QQ Tea,0,1,"https://www.zomato.com/sydney/qq-tea-parramatta
"
1387.0,The Pie Tin,Newtown,The Pie Tin,0,1,"https://www.zomato.com/sydney/the-pie-tin-newtown
"
1663.0,Ramen Zundo,Chatswood,Ramen Zundo,0,4,"https://www.zomato.com/sydney/ramen-zundo-chatswood
"
1712.0,Sharetea,Burwood,Sharetea,0,8,"https://www.zomato.com/sydney/sharetea-burwood
"
1599.0,Mulan Temple,Newtown,Mulan Temple,0,1,"https://www.zomato.com/sydney/bite-of-china-newtown
"
1454.0,Saigon Summer,Surry Hills,Saigon Summer,0,2,"https://www.zomato.com/sydney/saigon-summer-surry-hills
"
1043.0,Mad Mex,Harbourside,Mad Mex,0,8,"https://www.zomato.com/sydney/mad-mex-6-cbd
"
1376.0,Chachu's,Sydney,Chachu's,0,1,"https://www.zomato.com/sydney/chachus-1-cbd
"
1634.0,Bean Code,Chatswood,Bean Code,0,1,"https://www.zomato.com/sydney/bean-code-chatswood
"
1684.0,Flower Child,Chatswood,Flower Child,0,1,"https://www.zomato.com/sydney/flower-child-chatswood
"
1211.0,Ho Jiak,Strathfield,Ho Jiak,0,3,"https://www.zomato.com/sydney/ho-jiak-strathfield
"
1166.0,Mama's Buoi,Tramsheds,Mama's Buoi,0,3,"https://www.zomato.com/sydney/mamas-buoi-forest-lodge
"
1499.0,A1 Canteen,Chippendale,A1 Canteen,0,1,"https://www.zomato.com/sydney/a1-canteen-chippendale
"
580.0,Eat Fuh,Marrickville,Eat Fuh,0,1,"https://www.zomato.com/sydney/eat-fuh-marrickville
"
905.0,Rush Hotdogs and Burgers,Surry Hills,Rush Hotdogs and Burgers,0,1,"https://www.zomato.com/sydney/rush-hotdogs-and-burgers-surry-hills
"
1458.0,Oh! Matcha,Regent Place,Oh! Matcha,0,2,"https://www.zomato.com/sydney/oh-matcha-1-cbd
"
1582.0,Ichi-ban Boshi,The Galeries,Ichi-ban Boshi,0,3,"https://www.zomato.com/sydney/ichi-ban-boshi-cbd
"
1563.0,New Shanghai,Ashfield,New Shanghai,0,3,"https://www.zomato.com/sydney/new-shanghai-ashfield
"
1274.0,Thirsty Bird,Potts Point,Thirsty Bird,0,1,"https://www.zomato.com/sydney/thirsty-bird-potts-point
"
1044.0,Mad Mex,Winter Garden,Mad Mex,0,8,"https://www.zomato.com/sydney/mad-mex-3-cbd
"
1367.0,The Sandwich Shop,Surry Hills,The Sandwich Shop,0,3,"https://www.zomato.com/sydney/the-sandwich-shop-surry-hills
"
1322.0,Sharetea,Zetland,Sharetea,0,8,"https://www.zomato.com/sydney/sharetea-zetland
"
1390.0,Three Williams,Redfern,Three Williams,0,1,"https://www.zomato.com/sydney/three-williams-redfern
"
1254.0,The Factory Grind,Surry Hills,The Factory Grind,0,1,"https://www.zomato.com/sydney/the-factory-grind-surry-hills
"
1357.0,Mad Mex,Darlinghurst,Mad Mex,0,8,"https://www.zomato.com/sydney/mad-mex-darlinghurst
"
882.0,Love Crepe,Pyrmont,Love Crepe,0,1,"https://www.zomato.com/sydney/love-crepe-pyrmont
"
1657.0,Mama Mulan,Chatswood,Mama Mulan,0,1,"https://www.zomato.com/sydney/mama-mulan-chatswood
"
1665.0,Gelateria Gondola,Chatswood,Gelateria Gondola,0,1,"https://www.zomato.com/sydney/gelateria-gondola-chatswood
"
1572.0,Burger Project,Bondi Junction,Burger Project,0,8,"https://www.zomato.com/sydney/burger-project-bondi-junction
"
1255.0,Edition Coffee Roasters,Haymarket,Edition Coffee Roasters,0,1,"https://www.zomato.com/sydney/edition-coffee-roasters-haymarket
"
1609.0,The Bulgogi,Sydney,The Bulgogi,0,3,"https://www.zomato.com/sydney/the-bulgogi-1-cbd
"
