MId,Name,url
638.0,SumoSalad,None
810.0,8Bit,None
685.0,Roll'd,None
958.0,Aqua S,None
1025.0,DoDee Paidang Thai,None
1086.0,Gotcha,None
1088.0,King Tea,None
1092.0,Caffe Cherry Beans,None
996.0,BL Burgers,None
874.0,Kurtosh,None
1118.0,Chir Chir Korean,None
1051.0,Cafe Oratnek,None
972.0,Sushi Rap,None
1131.0,Mood Premium Hotpot,None
248.0,Meat District Co,None
1107.0,Down n' Out,None
988.0,Top Juice,None
1054.0,Baker's Delight,None
568.0,Gin Im Thai,None
720.0,Banh You,None
1125.0,Black Star Pastry,None
1021.0,The Choc Pot,None
994.0,Shancheng Hot Pot King,None
1120.0,Malacca Straits on Broadway,None
710.0,Thanon KhaoSan,None
786.0,Maya da Dhaba,None
1049.0,Alice's Makan,None
875.0,Nama,None
1013.0,Makoto Sushi Bar,None
1057.0,At Tea,None
240.0,Bar Cupola,None
1050.0,Cafe Kentaro,None
986.0,Cafe Miiso,None
244.0,Blackbird Cafe,None
1069.0,The Nolza,None
1071.0,The Local Mbassy,None
1094.0,Bibim Bowl and Rolls,None
1096.0,Preet Indian,None
931.0,Delisse,None
1097.0,Hikari Sushi,None
1122.0,Nene Chicken,None
1129.0,LAN Dining,None
1142.0,Palette,None
1141.0,The Daily Eatery,None
1140.0,Gong Cha,None
1130.0,Superfly,None
